x-coordinate,y-coordinate,class
13.519,157.266,left_sleeve
14.163,157.266,left_sleeve
14.806,158.125,left_sleeve
15.45,158.125,left_sleeve
16.738,159.844,left_sleeve
17.381,159.844,left_sleeve
18.025,160.703,left_sleeve
19.313,160.703,left_sleeve
19.956,161.563,left_sleeve
20.6,161.563,left_sleeve
21.888,163.281,left_sleeve
22.531,163.281,left_sleeve
23.175,164.141,left_sleeve
26.394,164.141,left_sleeve
28.969,167.578,left_sleeve
32.188,167.578,left_sleeve
34.763,171.016,left_sleeve
37.338,171.016,left_sleeve
37.981,171.875,left_sleeve
38.625,171.875,left_sleeve
39.913,173.594,left_sleeve
47.638,173.594,left_sleeve
48.281,172.734,left_sleeve
48.925,172.734,left_sleeve
49.569,171.875,left_sleeve
50.856,171.875,left_sleeve
51.5,171.016,left_sleeve
52.788,171.016,left_sleeve
53.431,170.156,left_sleeve
54.075,170.156,left_sleeve
54.075,169.297,left_sleeve
54.719,168.438,left_sleeve
55.363,168.438,left_sleeve
56.006,167.578,left_sleeve
57.294,167.578,left_sleeve
57.938,166.719,left_sleeve
58.581,166.719,left_sleeve
58.581,165.859,left_sleeve
59.225,165.0,left_sleeve
59.869,165.0,left_sleeve
60.513,164.141,left_sleeve
61.156,164.141,left_sleeve
63.088,161.563,left_sleeve
63.731,161.563,left_sleeve
64.375,160.703,left_sleeve
65.663,160.703,left_sleeve
66.306,159.844,left_sleeve
66.306,158.984,left_sleeve
67.594,157.266,left_sleeve
68.238,157.266,left_sleeve
70.169,154.688,left_sleeve
70.813,154.688,left_sleeve
71.456,153.828,left_sleeve
72.1,153.828,left_sleeve
75.963,148.672,left_sleeve
75.963,147.813,left_sleeve
77.25,146.094,left_sleeve
77.25,145.234,left_sleeve
79.181,142.656,left_sleeve
79.181,141.797,left_sleeve
80.469,140.078,left_sleeve
81.113,140.078,left_sleeve
81.756,139.219,left_sleeve
81.756,138.359,left_sleeve
82.4,137.5,left_sleeve
82.4,136.641,left_sleeve
83.044,135.781,left_sleeve
83.688,135.781,left_sleeve
83.688,134.922,left_sleeve
84.331,134.063,left_sleeve
84.331,132.344,left_sleeve
86.906,128.906,left_sleeve
86.906,126.328,left_sleeve
87.55,125.469,left_sleeve
87.55,124.609,left_sleeve
89.481,122.031,left_sleeve
89.481,117.734,left_sleeve
90.125,116.875,left_sleeve
90.125,116.016,left_sleeve
90.769,115.156,left_sleeve
90.769,114.297,left_sleeve
91.413,113.438,left_sleeve
91.413,112.578,left_sleeve
92.056,111.719,left_sleeve
92.056,105.703,left_sleeve
92.7,104.844,left_sleeve
92.7,103.125,left_sleeve
93.344,102.266,left_sleeve
93.344,101.406,left_sleeve
93.988,100.547,left_sleeve
93.988,81.641,left_sleeve
93.344,80.781,left_sleeve
93.344,79.922,left_sleeve
92.7,79.063,left_sleeve
92.7,76.484,left_sleeve
92.056,75.625,left_sleeve
92.056,64.453,left_sleeve
91.413,63.594,left_sleeve
91.413,61.875,left_sleeve
90.125,60.156,left_sleeve
90.125,58.438,left_sleeve
89.481,57.578,left_sleeve
89.481,53.281,left_sleeve
88.838,52.422,left_sleeve
88.838,51.563,left_sleeve
88.194,50.703,left_sleeve
88.194,49.844,left_sleeve
87.55,48.984,left_sleeve
87.55,48.125,left_sleeve
86.906,47.266,left_sleeve
86.906,42.969,left_sleeve
86.263,42.109,left_sleeve
86.263,40.391,left_sleeve
84.975,38.672,left_sleeve
323.163,36.094,right_sleeve
323.163,36.953,right_sleeve
323.806,37.813,right_sleeve
323.806,42.109,right_sleeve
323.163,42.969,right_sleeve
323.163,43.828,right_sleeve
322.519,44.688,right_sleeve
322.519,45.547,right_sleeve
321.875,46.406,right_sleeve
321.875,48.125,right_sleeve
321.231,48.984,right_sleeve
321.231,49.844,right_sleeve
319.944,51.563,right_sleeve
319.944,52.422,right_sleeve
319.3,53.281,right_sleeve
319.3,54.141,right_sleeve
318.013,55.859,right_sleeve
318.013,56.719,right_sleeve
316.725,58.438,right_sleeve
316.725,59.297,right_sleeve
316.081,60.156,right_sleeve
316.081,61.016,right_sleeve
314.794,62.734,right_sleeve
314.794,63.594,right_sleeve
314.15,64.453,right_sleeve
314.15,66.172,right_sleeve
312.219,68.75,right_sleeve
312.219,69.609,right_sleeve
311.575,70.469,right_sleeve
311.575,72.188,right_sleeve
310.931,73.047,right_sleeve
310.931,73.906,right_sleeve
310.288,74.766,right_sleeve
310.288,75.625,right_sleeve
309.644,76.484,right_sleeve
309.644,77.344,right_sleeve
309.0,78.203,right_sleeve
309.0,79.063,right_sleeve
308.356,79.922,right_sleeve
308.356,80.781,right_sleeve
307.713,81.641,right_sleeve
